Gene_Symbol,log2FoldChange,pvalue
NCAPG2,2.051509946,3.64E-50
SHROOM2,1.580537437,0.031503249
LUC7L2,0.721063704,3.61E-09
TMEM47,1.94257753,0.000496685
LANCL3,0.481017512,0.002298591
CASK,-4.549844483,1.67E-10
KDM6A,-3.64657023,2.02E-08
MSN,-0.329986772,1.02E-21
SLC16A2,1.999339265,9.69E-29
CHST7,-0.443010073,0.006779558
ZMYM3,-0.338069183,0.00088707
NONO,0.108016618,0.028008093
OGT,-0.217187702,6.60E-06
SNX12,0.442533278,9.27E-05
ITGB1BP2,-1.584826872,0.011176013
IL2RG,-2.300517518,0.000831121
ZNF711,0.745096511,0.008868537
DIAPH2,0.744047105,2.52E-08
NXF3,0.48865929,0.002706303
PRPS1,1.349560143,5.27E-67
RADX,2.517318703,2.99E-166
DOCK11,-0.622750123,4.70E-14
IGSF1,-1.271622681,0.000118139
GPC3,-0.604462456,0.001409291
RBMX,0.269708099,2.04E-05
FBXO25,-0.616807106,0.032363517
NSDHL,0.494733403,0.00245525
CETN2,0.91227594,1.66E-06
RPL10,0.339847187,2.59E-09
ATP6V1B2,-0.673075146,6.81E-66
CCDC25,0.708917145,1.06E-09
GNRH1,-0.923097467,0.029388582
BIN3,-0.498625599,5.05E-06
DOK2,-0.894557268,1.36E-14
SLC25A37,0.612375892,0.002472305
DOCK5,-1.25456013,2.15E-159
PLPBP,0.276954071,0.006069536
ERLIN2,0.715258398,1.44E-13
SNTG1,3.095695581,0.016884921
PXDNL,-2.852790476,0.009585931
ST18,-2.14430209,1.25E-05
RGS20,-1.179066616,3.24E-10
TACC1,0.547974024,8.89E-29
GINS4,1.774447322,1.93E-09
NSD3,0.189219386,0.008459001
MRPS28,1.017914422,1.07E-05
TERF1,0.690594454,2.85E-06
RPL7,0.965786673,3.73E-88
ATP6V0D2,-3.128742645,1.89E-99
DPYS,-1.795007223,4.10E-11
MTDH,0.271178424,3.58E-10
LRP12,-0.383277744,1.06E-16
POLR2K,0.359340572,0.00028187
EIF3H,0.261856226,3.53E-06
UTP23,0.780269068,1.27E-11
TATDN1,0.817218404,1.25E-07
SLC39A4,0.86702353,5.11E-05
NAPRT,-0.347786564,0.010958231
UHRF2,0.325169626,0.000235846
PLIN2,1.344013458,2.10E-63
HAUS6,1.159676414,1.17E-29
ZCCHC7,-0.661473433,8.73E-11
FBXO10,-0.662367098,0.023325473
SIGMAR1,0.933505791,1.31E-12
ZNG1E,-0.922726097,3.56E-05
CEP78,1.301709675,3.81E-08
SHC3,1.156299088,0.011686659
MFSD14B,-0.157418859,0.033605124
ZNF462,-2.142142247,3.67E-83
INIP,0.369672521,0.003942332
UGCG,-1.558930582,1.08E-110
SNX30,1.384889462,4.63E-15
STOM,0.28486786,6.26E-06
MRRF,0.411821798,0.016160172
NR6A1,-1.391661551,0.000179536
POLE3,0.590202748,4.24E-11
SURF4,0.175450324,0.000487235
SURF6,0.414336911,0.004698548
RPL7A,0.857044318,2.23E-67
GTF3C5,-0.290324508,0.013008634
CIZ1,0.299443603,0.001183152
SLC25A25,-0.688585243,1.23E-05
LRSAM1,-0.659686688,0.000161155
HMCN2,-3.416232257,0.003491439
GPR107,0.339139576,1.35E-06
NOTCH1,-1.169743913,2.00E-99
USP6NL,-0.699993355,1.04E-06
COMMD3,-0.525615228,0.006403163
PDSS1,1.152151275,3.09E-05
MINDY3,0.374262921,0.005316375
RSU1,0.610369228,2.71E-13
PARD3,-1.023515911,7.40E-05
ZEB1,0.281625297,3.22E-06
NRBF2,-0.691937096,6.81E-11
POLR3A,0.588787729,2.44E-09
CAMK2G,0.490147493,0.009747388
GLUD1,0.61159518,2.04E-22
ANKRD1,-2.019332027,1.29E-83
HTR7,0.947134185,1.27E-10
ADD3,0.60035098,0.017872074
DNAJB12,-0.326606738,0.00026066
EIF4EBP2,0.654467462,2.60E-27
PLEKHS1,-2.622138093,0.048877757
MKI67,4.274863685,4.44E-212
GSTO1,-0.402673137,2.76E-12
TAF5,0.595430883,0.004394281
PPRC1,0.435424929,3.34E-05
ITPRIP,-0.667035921,3.05E-18
PDCD11,1.117470032,8.35E-43
ADAM12,2.977300192,2.13E-13
RGS10,0.588810549,2.62E-08
BTBD10,0.523159903,0.001077131
ADM,-1.463638945,1.45E-13
PGAP2,0.918640173,8.79E-05
HSD17B12,-0.358014757,8.78E-08
APIP,0.8876179,2.48E-06
DGKZ,-0.382730268,4.40E-11
EIF3M,0.351969194,1.15E-05
TNKS1BP1,-0.340611541,1.77E-05
SERPING1,-6.098729274,0
SSRP1,0.93471216,2.12E-33
SLC43A1,-0.386165987,0.016001665
PTPRJ,0.142391074,0.008086389
CSTPP1,-0.591642237,0.001962625
ARFGAP2,0.19025129,0.029049334
CELF1,-0.280186966,8.63E-07
HIKESHI,0.522119725,0.00139045
ENDOD1,-2.437742088,4.56E-85
TENM4,-3.033214067,0.043794694
PAK1,-0.672368867,4.18E-13
RPS3,0.517352338,2.67E-20
ZC3H12C,-0.298290672,3.13E-10
NCAM1,-1.845574097,0
NPAT,0.363634477,0.006031147
ATM,0.32927733,3.38E-07
AASDHPPT,0.583513724,5.84E-07
GRIK4,-2.553222858,0.031333381
ST14,-0.855657359,6.66E-48
HYOU1,-0.144834764,0.005117368
TMEM138,-0.402402511,0.000164027
FADS1,0.874950895,3.71E-19
EML3,0.490198705,0.000111762
INCENP,0.496355863,0.00734285
B3GAT3,-0.266219054,0.022628545
EI24,0.301940662,0.000129355
CHEK1,0.728982116,1.59E-07
ESAM,2.28587186,1.52E-08
SIDT2,0.44217769,0.000574671
OCSTAMP,0.370087338,0.004030186
DSN1,0.848636114,1.82E-06
CDH22,-1.458840314,0.001659924
CABLES2,-0.778930391,0.001745061
FERMT3,-0.404923516,2.56E-21
MRPL49,-0.62426943,3.77E-09
CDC42EP2,0.649082196,0.009378604
FAU,0.326695546,6.14E-05
VPS51,0.52938808,8.71E-05
PPP4C,-0.222133427,0.001781326
HIRIP3,0.786995007,0.008359468
TMEM219,-1.144428661,4.68E-52
HMGA2,2.435565166,1.18E-225
MMP3,1.996264847,2.73E-42
CNKSR2,0.765770327,0.032277482
ITGB1,1.453648794,0
FCGR1A,-1.679720783,5.84E-10
ARID5B,0.371977615,1.20E-06
TMCO3,0.512253731,1.44E-05
EEF1AKMT1,0.763836582,0.038203368
LATS2,-0.343902409,0.013472287
SAP18,-0.290531505,6.14E-06
ADGRL3,-0.296425857,0.027789999
KIAA1328,0.785699082,0.008801962
PDCD4,0.296946305,0.019536009
VEGFC,0.741024282,8.53E-16
PRSS23,2.393257525,1.54E-20
MTMR12,0.485628847,1.03E-08
CCT5,1.325737174,3.18E-177
ATPSCKMT,1.971784051,2.61E-24
DIXDC1,1.211218532,2.12E-11
DLAT,0.675973137,1.35E-12
PTS,0.584746029,0.01036459
PIP4K2A,-0.671761592,4.12E-20
FOXO1,-1.239493411,1.93E-08
CRIM1,0.84587197,4.63E-05
SEC24D,0.137762035,0.00910472
ABCB9,-0.739260329,2.95E-05
RILPL2,-0.905655387,1.25E-21
UBC,-0.525379697,3.53E-56
ITPR1,0.313735517,1.24E-07
SLC7A11,0.615587522,7.62E-40
NOCT,-1.293901654,2.42E-13
CACNA2D4,-0.635353912,2.88E-06
NGLY1,-0.388419686,0.000607405
UEVLD,0.336567833,0.006911982
TMEM263,0.431679091,0.000140209
ABTB3,-1.469928413,0.005926335
UBE3B,0.213555155,0.032672186
PLBD2,-0.446380664,2.15E-09
SLC2A13,1.124481988,1.35E-22
EIF4E,0.218467756,0.000121149
SRFBP1,0.307076461,0.037902834
FAM177A1,0.480696125,0.000497365
MBIP,-0.451207502,0.024299567
EXT2,-0.253117001,0.009860003
NDUFC2,0.63045434,0.016529326
ME3,0.930490403,0.000932017
NUBPL,1.511960802,0.000190355
NEK7,0.21893928,0.002861982
FER,0.541228875,0.012245464
ANKRD50,0.544966552,8.01E-07
UPF2,-0.51931663,2.21E-08
CDC123,0.413098812,3.99E-09
SCLT1,-0.920197504,1.13E-08
C4orf33,-0.55441811,0.000271938
FRMD4A,1.82982624,3.68E-93
PTPRO,0.369142242,0.025465167
EPS8,0.259688089,0.022275363
ACAD8,0.676677755,2.34E-05
VPS26B,0.631100973,7.34E-09
NCAPD3,1.818401949,9.01E-71
QDPR,0.358850586,0.03507087
TEX9,2.303042516,4.12E-47
QTRT2,0.711220657,2.14E-09
MMAA,-0.773856405,0.000647528
ZNF827,2.13246839,6.35E-05
POU4F2,1.240894951,1.48E-05
VENTX,-1.499492748,1.71E-07
ADAM8,-0.88575921,0.000285103
PIGF,0.589189078,0.009126023
INPP1,0.552582279,0.002030531
MFSD6,0.852210148,1.57E-15
RNF144A,-1.169479452,1.36E-07
ASAP2,-0.828521988,1.08E-08
ADAM17,-0.562126828,1.64E-20
FLI1,-0.685475797,2.47E-09
WWC2,0.213980826,0.001269766
CENPU,2.208643506,4.61E-20
ACSL1,-1.213539657,2.81E-118
AMN1,-0.794575541,0.00033249
BICD1,0.676690046,2.82E-06
SAV1,-0.584736629,2.29E-06
NBAS,0.629809716,6.21E-08
TDO2,-0.533681496,2.75E-65
GUF1,0.834161558,4.68E-13
SACS,1.383842371,7.90E-44
FBXO4,0.685119676,0.00286645
TMEM267,0.892894986,1.24E-08
CCL28,0.699412053,0.013594041
PARP8,-1.09668235,7.85E-44
CACUL1,0.191758686,0.019210806
DST,2.344302998,2.87E-215
BEND6,0.787409396,0.003958433
TIAL1,0.295309942,0.000537254
BAG3,-0.466332896,6.83E-08
GLT1D1,-2.742660371,0.033926477
NA,1.075807739,1.22E-19
AP1S3,-2.037961481,3.26E-50
RABGAP1L,-0.740213579,3.34E-29
TLCD4,4.517259921,0.046977616
MZT2B,0.978435055,0.006968182
FAM168B,1.093815997,4.38E-43
PTPN14,1.045874736,1.95E-25
SMPD4BP,-1.120234508,1.98E-08
MGAT5,0.52080945,2.42E-05
GPATCH11,0.275673378,0.049562215
GEMIN6,1.273381425,0.000140489
ARL11,-0.917819573,2.22E-07
SETBP1,-1.234572391,1.68E-39
EPG5,-1.516035035,3.52E-130
PSTPIP2,-1.080061553,0.001426894
ATP5F1A,0.426097781,1.32E-28
ARK2N,-0.472004503,7.55E-11
SPC25,4.565928458,1.78E-10
PDK1,0.905682406,1.09E-08
PDE3B,0.462997902,0.001432548
TCF7L1,-0.974854094,0.040639277
TGOLN2,0.193219961,1.58E-06
KCNK13,-1.513213713,0.013130661
UHMK1,0.310692441,5.26E-09
ATG10,1.00108764,0.02553438
SPOCK1,2.770854978,3.78E-29
FAM151B,-0.647946535,0.040439633
GUCY1A2,-0.434125879,0.001836727
CWF19L2,-0.604563553,0.002899728
JMY,0.466799898,0.00247985
ZNF776,0.457887186,0.008938823
SUV39H2,0.490542294,0.018380253
DCLRE1C,-0.77683638,5.43E-07
NMT2,1.364482016,1.24E-05
USP12,0.54068705,1.14E-16
CCDC50,0.241108318,0.022676774
CAMK4,1.938476278,1.61E-09
ZFP36L2,-0.622729638,2.52E-17
PAN3,-0.307655638,0.000845035
TMEM123,-0.531062244,4.40E-30
SPEF2,0.981265776,0.002599889
SPARCL1,2.185751621,3.51E-09
DSPP,4.244710164,0.019841436
DMP1,3.856798556,4.65E-42
MEPE,4.357092686,2.91E-09
MBNL1,-0.122893082,0.005316553
NADK2,0.68546261,1.47E-13
GPD1L,1.148184961,0.000141273
GJA1,3.691469178,3.05E-18
CCNO,-1.421736572,0.009301619
SLC30A6,0.789965916,5.82E-13
PELO,-0.888460194,2.81E-09
RASGRP3,-1.617762123,4.15E-88
SAR1B,0.333550093,0.00057525
NA,-1.279851737,0.001201573
GPR180,-0.235313674,0.042053178
DYNLT5,0.639594064,4.71E-24
IFIT5,-0.756722598,3.32E-21
PANK1,1.27679133,0.001274006
PRDM8,-0.687324354,0.006408842
HNRNPDL,0.185942985,0.000588494
PTPRK,1.421445221,1.91E-31
ZNF117,-0.155191891,0.021747609
RAD17,0.349143686,0.015776511
MED21,0.604722549,5.60E-06
NRSN1,3.241371782,8.06E-71
ADGRA3,1.470054605,7.12E-09
SREK1IP1,0.776553723,2.09E-12
LGI2,2.142690145,4.90E-41
CWC27,0.627291699,0.000514917
MR1,-0.502754752,5.73E-10
CENPH,0.718273651,0.020398484
CDYL,0.2736988,0.006883855
CARHSP1,1.182567555,3.02E-11
BANK1,-1.67389252,3.07E-12
TXNDC11,-0.616387457,1.79E-10
BCL2L11,-0.599312521,2.64E-07
ANAPC1,0.853905243,5.64E-21
SCOC,0.705305091,6.91E-10
CETN3,1.026771559,0.000330819
SYCP2L,-0.941921124,0.040857905
BMP6,0.372805109,0.01969244
RASSF3,-0.675073257,2.29E-10
HNRNPU,-0.117604588,0.00309948
RANBP2,0.399733194,4.62E-20
AHCTF1,0.628885639,1.66E-17
MERTK,-0.872599268,1.44E-27
RBMS1,0.929091509,1.60E-29
CYRIB,-0.314128406,3.43E-07
ASAP1,-0.202225898,5.57E-06
TRAPPC8,-0.345798659,4.44E-09
INO80C,0.357574517,0.008679711
UBALD1,-0.545445226,0.006919321
ADPRHL1,-3.355984688,0.022243031
UBP1,-0.268047453,3.36E-05
RMND5A,0.298002598,0.003039805
RPIA,0.55169591,0.019853867
NA,0.703432543,0.000147208
NA,-1.24311771,0.000976721
LURAP1L,-0.773631451,0.016712194
CNKSR3,1.541322477,8.02E-06
CFDP1,0.533062328,0.015489064
C7orf31,-1.388237573,4.48E-07
CMIP,-0.870029854,3.32E-24
PID1,3.118349732,9.58E-34
TRIP12,0.230514271,1.92E-08
CEBPG,-0.329825861,0.006693157
MCOLN2,-2.453911852,6.11E-66
DDAH1,1.748267704,3.05E-06
CHD1,-0.202970849,0.031307475
NA,-1.379647555,0.029945623
DGKE,-1.207434367,4.61E-16
MSI2,0.410257982,2.51E-05
CACNA2D1,1.681823581,7.51E-09
ZUP1,-0.455857464,0.000325375
NUS1,0.906984214,1.08E-38
SEMA3D,2.346384129,8.41E-48
PPP2R5E,0.337811696,0.000710687
GRAP,-1.842649695,0.000271179
IMPACT,0.521508283,2.14E-05
TBCEL,-1.036737806,8.76E-11
ROBO4,2.347141096,5.81E-06
TBRG1,-0.578335314,5.10E-10
NRGN,1.364159251,2.15E-25
TOMM70,0.748650604,2.09E-18
PITPNC1,0.366601935,0.037222215
CC2D1B,-0.436908085,7.97E-08
PRKCA,0.797574101,2.49E-18
LRRK1,-0.931772416,5.52E-08
ABCA5,-0.644561869,0.021983634
NEIL2,0.480785206,0.025439646
OBSCN,-0.352874109,0.044685275
TRIM11,-0.657500246,9.99E-08
ENAH,1.41035932,2.89E-09
CCSAP,0.576736355,5.89E-08
SH3RF1,0.27814442,0.011591645
GBP5,-3.709325327,1.85E-288
BUB3,0.503822673,2.84E-11
ATP5MC3,0.597317636,3.36E-15
ELOC,0.31669083,4.57E-05
CXADR,4.8000103,3.46E-22
BTG3,0.46602879,4.78E-05
C21orf91,-1.443530579,2.69E-44
CHODL,0.942483508,0.000343984
NCAM2,-1.353895902,1.54E-06
GABPA,0.669868733,1.38E-08
ADAMTS1,4.261026108,4.47E-179
ADAMTS5,3.437112027,0.000154451
TSEN2,1.113009937,0.000100168
SLFN13,-0.915596988,0.000466336
CCDC174,-0.417307952,0.010569683
FLCN,-0.547894933,0.000100668
DPH3,0.692864089,1.93E-08
CXXC1,-0.399960417,2.27E-05
SKA1,4.432920988,4.22E-19
PPP4R1,0.381189565,1.41E-05
APCDD1,-2.274273692,0.002251458
MPPE1,-0.414788181,0.044489123
EME1,2.425953419,8.96E-07
EPHB1,-1.929281872,2.39E-12
ANKRD40,0.545008713,1.32E-07
VOPP1,-0.284530833,3.47E-05
DKK2,0.703806526,0.001744335
CYP2U1,1.50500683,0.003957722
KLF10,0.311098935,0.000375287
PTPRN2,-0.363092853,0.010971041
AZIN1,0.275615,3.29E-07
ATP6V1C1,0.441176095,1.20E-12
PIP4P2,0.540837275,0.001358095
OTUD6B,0.771276515,5.25E-09
CDK19,-0.52137831,1.29E-14
NA,-3.61916004,0
TTC39B,-0.878354356,2.95E-16
AGPAT5,0.438933805,2.67E-06
MMS19,1.1467658,1.68E-22
PI4K2A,-0.503795694,7.77E-13
MARVELD1,0.544863047,9.61E-13
ZFYVE27,-0.656290721,5.41E-09
GOLGA7B,-0.674869592,0.029929024
SLC25A28,-1.18461279,6.87E-24
SAMSN1,-0.649530396,0.041502504
USP25,-0.874460465,7.02E-27
MOV10,-1.027934401,4.33E-90
RHOC,-0.163401471,0.001947194
DBI,-1.185411052,1.60E-91
SLC16A1,0.638610612,5.93E-21
NIFK,0.510866042,8.54E-06
OXA1L,0.242742037,0.000585671
SLC7A7,-1.780403391,9.25E-119
LARP1,0.275354698,1.27E-06
CNOT8,0.306094262,0.000898425
MIER3,-0.722683,2.53E-09
ZKSCAN2,-0.481570481,0.021062459
C9orf85,-0.465897653,0.049940915
PIK3AP1,-1.640454658,8.35E-253
VSIG4,1.044178575,0.005972587
PDIA4,-0.210991904,0.001400456
TMEM237,1.480037396,5.25E-06
FZD7,-0.857590771,3.30E-09
RNF20,0.482291641,7.39E-05
PPARGC1B,0.354055654,0.004740012
ELMO1,-0.605949332,3.15E-06
SLC26A2,0.759562209,3.82E-08
LSM11,0.677343351,0.020327987
MED7,0.493853996,0.02593504
ADCY8,-0.726293912,0.001093324
RASA2,0.359781043,0.004110869
RMND1,1.028894773,2.51E-10
SLA,0.706019592,1.38E-06
VBP1,0.92279288,1.94E-14
GRIP1,-0.984685917,0.008963413
PSD3,0.313969955,3.26E-11
CARNMT1,0.645459098,0.000494221
MIDEAS,-0.373459538,0.000720602
GNAQ,-0.330596175,1.76E-06
MMP16,1.500064709,0.044498959
ADK,1.382139089,2.44E-31
DCK,0.493589436,7.35E-05
ADAMTS3,-0.565726818,0.023837312
NDUFAF6,0.792917072,0.004810209
DRAM2,-0.43535204,3.30E-07
CFAP161,-1.731302593,0.031243771
WHAMM,-1.256002858,2.77E-33
CXCL13,-0.792501886,1.64E-10
N6AMT1,0.781894102,0.010744246
RWDD2B,0.638037598,0.00023558
CCT8,0.448818333,1.13E-20
MAP3K7CL,0.967188462,1.85E-17
BACH1,-0.443418214,6.91E-10
SCAF4,-0.797546897,4.19E-21
CDK20,-0.983658772,4.89E-09
PCGF6,0.529999232,0.00163195
SFR1,-0.595249221,0.044463934
SFXN2,2.512318576,2.44E-11
ATP5MJ,0.338732345,0.024773886
TDRD9,-2.68657858,0.000153383
UQCRB,0.331977169,1.78E-06
MTERF3,0.54820681,0.000628064
PTDSS1,0.191385967,0.000131012
RPL30,0.320206334,1.30E-07
PABIR3,-1.532929188,7.41E-15
PABIR2,0.739256259,9.62E-11
EEF1A1,0.616148688,2.72E-94
HK1,0.72049632,3.06E-22
TYSND1,0.860769043,0.013552943
PHF6,0.283961155,0.006200594
CD109,-0.295913579,2.12E-15
UBE2L6,-1.443910839,8.81E-160
ZDHHC5,-0.243509145,5.63E-06
ZFAND3,-0.211081058,0.002420086
NPTN,0.275578478,5.70E-06
KAT6B,0.351893085,0.017896834
RAB11FIP1,-0.346267922,0.00122427
UTP14A,0.556248145,0.000215002
BAG4,0.2834272,0.023032543
TBC1D31,0.699489774,0.000602313
ATAD2,1.199604534,5.35E-46
FBXO32,-1.685600887,8.04E-230
PRR14,-0.418975947,0.009507527
FBRS,-0.509334469,4.19E-14
FRRS1,-0.765649736,0.000294889
PHKG2,-0.320356948,0.035821339
MFSD14A,-0.141932047,0.042957608
SASS6,1.534991559,1.72E-10
ITGAD,-2.753018452,0.034702139
MALSU1,0.74171925,0.003559035
VPS8,-0.44169826,6.70E-05
B3GNT7,-3.172788642,1.81E-10
BUB1B,4.718681283,1.58E-16
BRPF1,-0.405345736,3.11E-06
RPUSD3,0.68279945,9.79E-05
SEC13,0.508866753,2.22E-13
NTAN1,-0.70671351,9.86E-10
NMNAT2,2.957191896,0.006926066
FCHO2,-0.411240442,0.000530335
RBPMS,-1.206398647,0.005080082
TMEM171,-2.623965468,0.000215017
NRG1,1.467789523,3.12E-132
NECAP2,-0.40261639,3.56E-06
LRP8,0.213941608,0.003517281
STEAP2,1.255840383,0.000660538
CLDN12,-0.369397793,0.000390047
MMP14,-0.353903669,1.87E-32
FZD1,0.663990207,1.58E-05
SUSD3,-1.241866549,1.05E-08
NA,-1.537085805,0.000537603
ST3GAL2,-0.527087982,4.75E-07
CACNA1D,3.216285552,1.75E-05
KIT,1.066557567,0.000656587
HYDIN,-1.127933641,0.007984826
AASDH,0.436456614,0.022248338
CACNA2D3,2.050592911,6.86E-05
CCNB2,1.551591537,2.33E-12
MYO1E,-0.243073146,1.23E-08
APPL1,0.442317112,1.64E-05
TSC22D3,-0.585863672,7.03E-05
DYRK1A,-0.483383787,1.41E-08
KCNJ15,3.058951022,0.013939031
ETS2,-0.661806458,7.34E-10
MX1,-3.25943306,0
SLC38A10,-0.400697886,5.43E-06
ZNF618,-0.824979687,3.44E-19
DGKI,0.504490073,0.005205296
TMEM268,-1.918961301,1.26E-53
BRAF,-0.247216154,0.010567781
WDR19,-0.552242678,7.94E-05
SLC37A3,0.82086966,0.001473694
AP3S2,1.285804213,1.06E-05
FMNL2,0.393123638,1.34E-08
GAREM2,-0.666346089,0.002808742
SPPL3,-0.319836946,0.018422767
DRC1,-3.140538591,0.038844766
PRXL2B,-0.657980544,0.006400807
TNFRSF14,-1.62701953,3.76E-34
RER1,0.401410457,1.73E-07
SKI,-0.370207164,0.001637705
LDLRAP1,-0.903509998,6.56E-13
AGAP1,0.846347438,7.58E-08
PAFAH2,1.211945842,1.27E-09
BABAM2,0.339937782,0.046079353
TRIM63,-3.817944795,0.047151643
CFAP251,-0.536855698,0.032583601
MRPL17,0.326266376,0.004019966
PTPDC1,0.990840809,0.000215959
RHPN1,-1.789540829,2.65E-16
TPRG1L,0.820794755,2.55E-10
LRRC43,-2.048446358,0.026050448
PRXL2C,-0.371792835,0.045944149
CNNM4,-0.520528091,0.006842914
TMSB15A,4.138986017,0.024289248
FANCC,1.355901964,1.98E-06
MRAS,-0.274328078,0.000630224
ABHD3,-0.632366508,1.48E-10
GPRASP2,0.662806643,0.027239634
H2BC5,-1.027055979,2.94E-07
CDC25C,2.346886685,0.000721563
H4C8,-0.797875157,5.07E-06
MITD1,-0.358285923,0.023824329
EIF5B,0.406072409,8.24E-10
CNOT11,0.43989236,5.81E-05
TSPAN33,-0.864827726,0.004098395
AHCYL2,0.641375912,0.000778604
B4GALT5,-1.270492782,5.80E-105
CD1A,1.531536595,1.20E-05
SPATA2,-0.453310295,0.010854223
CD1C,2.184650136,3.04E-06
FAM86C1P,1.619110545,2.54E-05
CD1E,1.241153063,0.018069478
NCF1,-1.42369914,2.87E-155
GDPD5,-1.131876642,3.18E-24
DYNC1I1,1.827770992,1.53E-06
TMED4,0.324742986,3.84E-05
PPP1R15B,-0.448082885,1.50E-10
COPG2,0.777708403,0.035027719
GPAT4,0.446958179,5.57E-08
ZSCAN12,0.729963382,0.020101004
TAGLN2,0.865361295,8.28E-84
SLAMF8,-0.196694568,0.000865511
SLC45A3,-0.57362283,6.86E-05
RNF166,-0.390594351,0.000785453
F11R,-0.897646802,9.75E-10
USF1,-0.299312248,0.000104236
SPATA2L,-0.594916144,0.011373487
CDA,2.326152371,0.000270326
ADAMTS4,0.680096261,0.029116189
NDUFS2,0.627373334,1.53E-28
SLC5A11,-4.567316804,0.040312746
FCER1G,-1.124316799,2.34E-134
TOMM40L,0.316691967,0.010258735
CDC42SE2,-0.528425629,1.08E-07
RAPGEF6,0.539890886,0.010830612
EPB41,-0.865938148,7.08E-11
MIS18A,1.435696404,1.02E-05
ALG8,0.673673771,1.56E-06
FBXW5,-1.101886541,1.89E-61
GART,0.432076091,1.15E-07
SON,-0.145562227,0.000434652
DONSON,0.622114346,0.001521305
STC1,2.105531106,7.22E-139
CSRP1,0.894677865,3.07E-33
ATP5MC1,1.042737242,1.19E-09
RCAN1,0.935174185,9.77E-62
UBE2Z,-0.847574865,3.92E-53
SNF8,0.33786054,0.01722706
CLIC6,-1.615329671,9.03E-08
IGF2BP1,2.87952384,0.029904441
MORC3,-0.406501797,3.42E-09
CHAF1B,1.245916158,3.17E-05
HLCS,0.555704821,0.000373663
ARHGAP27,-1.755036046,2.67E-46
ADPGK,-0.67086347,1.61E-27
PTMS,-0.572410748,5.23E-05
PSMD4,0.334273235,7.88E-08
PSMB4,0.707196418,1.64E-28
BTG2,-0.436005725,5.27E-19
C1R,-1.575802106,0.044077677
THEM4,0.506717126,0.002847782
MED8,0.427518114,8.74E-10
GPBP1L1,-0.294296627,8.58E-08
TMEM69,0.251922086,0.017651671
ADGRG5,-1.309159427,0.013899216
SPON2,-0.804617522,0.01533701
ATP6V0D1,-0.528114871,4.24E-17
ZFYVE28,-1.646560227,1.60E-10
ZYX,-0.52528538,3.73E-31
LYPD5,-3.011541804,4.95E-08
CCDC117,-0.672351185,8.06E-10
CCDC107,-0.788699138,0.000655377
GNE,0.791292465,1.54E-08
PTGIR,-1.837484759,8.91E-10
CALM3,0.691464191,2.14E-39
DFFA,0.412199176,0.008362907
TMEM234,-0.780209173,0.00050056
ZBTB8A,1.463410886,0.016008811
ATAD3B,0.88448455,7.56E-08
SSU72,-0.26988559,0.003325678
MIX23,0.778638598,0.014371716
VMA21,0.853926493,2.53E-15
NA,1.318770661,0.04017898
ABCG1,-2.540841225,4.76E-06
SLC37A1,-1.402526212,4.10E-16
WDR4,0.634568849,0.008219655
RRP1B,0.708548857,3.76E-11
PDXK,-0.418130072,3.42E-09
CSTB,-0.88028572,2.27E-90
RRP1,0.438446616,0.00149047
AGPAT3,-0.223641385,0.00128827
TRAPPC10,-0.186592009,0.011831118
GAB3,-0.701103464,0.000617041
ICOSLG,-0.52683098,1.28E-09
ITGB2,0.21013463,3.01E-09
SLX9,0.654664486,5.93E-05
RALGDS,-1.210252237,1.13E-25
SPATC1L,1.361107046,6.21E-05
MCM3AP,0.198651123,0.001699134
C21orf58,1.821911539,7.64E-06
PCNT,0.863075216,6.85E-17
CACFD1,-0.910222857,0.016357253
ZNF761,0.350184719,0.016923638
C19orf47,-0.884328863,4.76E-05
TOR2A,-0.94139203,2.57E-08
SHKBP1,-0.216227777,0.04214195
TAOK1,0.725095594,3.24E-32
DEDD2,-0.842086007,1.88E-11
SIK3,-0.463718923,1.67E-08
NEK8,-0.951836981,0.040785562
PCSK7,0.24518409,0.023667451
SAFB,-0.377879422,6.63E-07
CXCR5,1.366488918,0.001844072
ZBTB7B,-0.416802189,3.10E-08
FLAD1,0.571578122,2.95E-06
SHC1,0.290010548,0.000113839
VPS11,-0.677281249,1.43E-15
ADAR,-0.098016055,0.004652664
IL6R,-0.682220286,3.05E-28
CRTC2,-0.265362683,0.004685247
ANO10,0.932578056,5.73E-05
FDPS,0.876603226,7.59E-17
RUSC1,0.383343582,0.010522423
PAQR6,-0.667491773,0.034461255
SLC25A44,0.343546809,0.000120697
LMNA,0.145710808,0.000392667
CCR5,-3.727512908,1.69E-10
NBEAL2,-0.354358723,0.005972627
UBQLN4,0.219431571,0.018776481
PPP1R35,-0.889827396,0.043411757
GPATCH4,0.974977886,1.74E-14
NA,-0.74091581,0.000693985
NACC1,-0.29463691,2.21E-05
IER2,-0.757557371,5.57E-10
ZNF394,-0.700326813,6.75E-09
LY6E,-1.442945303,6.39E-273
TONSL,0.418790568,0.018434132
PWWP3A,0.969054423,4.57E-20
RECQL4,0.841571348,1.21E-07
LRRC14,0.323137358,0.032218412
SH2B2,-0.729866487,0.019387953
SQSTM1,-0.445895346,1.57E-20
RPL8,0.65515878,2.16E-41
MAML1,-0.505792049,9.68E-07
NAPEPLD,0.784934702,0.002685458
PSMC2,-0.149220104,0.019590864
MFSD12,-1.279841376,4.22E-121
NA,-3.175665684,0.033896667
